OriginLocation_Code,Origin_Location,State,Capacity,ContactNumber_H
CHEPUZTVSHUA1,"Tvslsl-Puzhal-Hub,Chennai",Tamil Nadu,,
CHEORADMRCCB1,"Daimler India Commercial Vehicles,Kanchipuram",Tamil Nadu,,
CHEPONLUTCCA4,"Lucas Tvs Ltd-Pondy,Pondy",Pondicherry,,
CHENETLUTCCA1,"Lucas Tvs Ltd-Pondy,Pondy",Pondicherry,,
CHEENNALLCCA1,"Ashok Leyland Ennore,Chennai",Tamil Nadu,,
HOSHOSALLCCA3,"Ashok Leyland Plant 2-Hosur,Hosur",Karnataka,,
CHEPADLUTCCA1,"Lucas Tvs Ltd-Ambattur,Chennai",Tamil Nadu,,
CHEMMNTFECCC3,"Tractors & Farm Equipment Limited,Kanchipuram",Tamil Nadu,,
HOSMADTVSHUA1,"Gopanapalli,Krishnagiri",Tamil Nadu,,
CHEMADSCTCCA2,"Vellaripatti,Madurai",Tamil Nadu,,
COIPERTVSHUA3,"Naickenpalayam,Coimbatore",Tamil Nadu,,
HOSSIPPVECCA8,"Praveen Engineering Industries,Hosur",Tamil Nadu,,
HOSHOSALLCCA2,"Ashok Leyland Plant 1- Hosur,Hosur",Karnataka,,
600066,"Pozhal,Tiruvallur",Tamil Nadu,,
HOSHARTMCCCA1,"Tvs Motor Company-Hosur,Hosur",Tamil Nadu,,
CHEAMBWABCCA1,"Wabco India Ltd-Ambattur,Chennai",Tamil Nadu,,
HOSLALWABWHA2,"Mookandapalli,Krishnagiri",Tamil Nadu,,
HALVITJBLCCA1,"Jay Bharat Maruti Ltd,Ahmedabad",Gujarat,,
HOSCHAALLCCA2,"Ashok Leyland Parts-Hosur,Hosur",Tamil Nadu,,
CHEPULTELCCA1,"Turbo Energy Ltd-Pulivalam,Vellore",Tamil Nadu,,
V0045771 ,"Ramamurthy Nagar,Bangalore",Karnataka,,
