BookingID,customerID,Refined.Fixed Costs,BookingID_Date,Planned_ETA,actual_eta,Status,Refined.condition_text,RouteID
MVCV0000927/082021,ALLEXCHE45,10502.59517,8/17/2020 14:59,8/21/2020 18:59,8/28/2020 14:38,Delay,Partly cloudy,
VCV00014271/082021,DMREXCHEUX,6092.156655,8/27/2020 16:22,8/31/2020 20:22,8/28/2020 12:46,Early,Sunny,
VCV00014382/082021,LUTGCCHE06,11930.90331,8/27/2020 17:59,8/31/2020 21:59,8/28/2020 16:03,Early,cloudy ,
VCV00014743/082021,DMREXCHEUX,7428.016155,8/28/2020 0:48,9/1/2020 4:48,8/28/2020 12:50,Early,Cloudy,
VCV00014744/082021,LUTGCCHE06,6735.388638,8/28/2020 1:23,9/1/2020 5:23,8/28/2020 14:22,Early,Cloudy,
VCV00014749/082021,DMREXCHEUX,7064.379138,8/28/2020 2:14,9/1/2020 6:14,8/28/2020 13:25,Early,Cloudy,
VCV00014750/082021,DMREXCHEUX,6981.433638,8/28/2020 2:20,9/1/2020 6:20,8/28/2020 17:38,Early,Mist,
VCV00014812/082021,DMREXCHEUX,6770.098638,8/28/2020 9:22,9/1/2020 13:22,8/28/2020 12:49,Early,Sunny,
MVCV0001769/082021,ALLEXCHE45,10154.43917,8/28/2020 9:38,9/1/2020 13:38,8/28/2020 15:00,Early,Sunny,
VCV00014665/082021,DMREXCHEUX,6949.231638,8/27/2020 22:27,9/1/2020 2:27,8/28/2020 12:46,Early,Mist,
VCV00014745/082021,DMREXCHEUX,10792.35917,8/28/2020 1:35,9/1/2020 5:35,8/28/2020 12:50,Early,Partly cloudy,
VCV00014866/082021,ALLEXCHE45,7218.480138,8/28/2020 10:16,9/1/2020 14:16,8/28/2020 15:43,Early,Patchy rain possible,
VCV00014879/082021,DMREXCHEUX,5184.415638,8/28/2020 10:26,9/1/2020 14:26,8/28/2020 12:53,Early,Partly cloudy,
VCV00014872/082021,DMREXCHEUX,7143.304905,8/28/2020 10:23,9/1/2020 14:23,8/28/2020 12:50,Early,Overcast,
VCV00014554/082021,DMREXCHEUX,7160.476638,8/27/2020 20:34,9/1/2020 0:34,8/28/2020 12:46,Early,Partly cloudy,
VCV00014571/082021,LUTGCCHE06,8168.40024,8/27/2020 20:50,9/1/2020 0:50,8/28/2020 13:06,Early,Sunny,
VCV00014582/082021,DMREXCHEUX,6574.736655,8/27/2020 21:00,9/1/2020 1:00,8/28/2020 12:48,Early,Mist,
VCV00014600/082021,LUTGCCHE06,7212.140655,8/27/2020 21:14,9/1/2020 1:14,8/28/2020 12:56,Early,Partly cloudy,
VCV00014753/082021,DMREXCHEUX,7023.411138,8/28/2020 3:09,9/1/2020 7:09,8/28/2020 12:48,Early,Partly cloudy,
VCV00014902/082021,DMREXCHEUX,10464.81767,8/28/2020 10:54,9/1/2020 14:54,8/28/2020 12:49,Early,Sunny,
VCV00015028/082021,DMREXCHEUX,6387.821655,8/28/2020 12:04,9/1/2020 16:04,8/28/2020 12:49,Early,Sunny,
VCV00014886/082021,ALLEXCHE45,12185.00331,8/28/2020 10:30,9/1/2020 14:30,8/28/2020 12:51,Early,Patchy rain possible,
VCV00014888/082021,TFEEXCHETB,6381.563655,8/28/2020 10:30,9/1/2020 14:30,8/28/2020 12:53,Early,Sunny,
VCV00014914/082021,DMREXCHEUX,7768.326135,8/28/2020 11:01,9/1/2020 15:01,8/28/2020 12:48,Early,Mist,
VCV00014931/082021,DMREXCHEUX,7097.769138,8/28/2020 11:12,9/1/2020 15:12,8/28/2020 13:02,Early,Sunny,
VCV00014983/082021,DMREXCHEUX,6788.083638,8/28/2020 11:42,9/1/2020 15:42,8/28/2020 12:49,Early,Overcast,
VCV00014984/082021,DMREXCHEUX,6573.898638,8/28/2020 11:43,9/1/2020 15:43,8/28/2020 12:49,Early,Sunny,
VCV00014991/082021,DMREXCHEUX,10116.66167,8/28/2020 11:49,9/1/2020 15:49,8/28/2020 13:13,Early,Sunny,
VCV00012634/082021,LUTGCCHE06,6826.674138,8/25/2020 17:31,8/29/2020 21:31,8/28/2020 12:55,Early,Patchy rain possible,
VCV00012746/082021,DMREXCHEUX,10754.58167,8/25/2020 20:57,8/30/2020 0:57,8/28/2020 12:48,Early,Cloudy,
VCV00012911/082021,LUTGCCHE06,7468.455138,8/26/2020 10:09,8/30/2020 14:09,8/28/2020 16:03,Early,Partly cloudy,
VCV00012946/082021,DMREXCHEUX,7710.085635,8/26/2020 10:46,8/30/2020 14:46,8/28/2020 12:46,Early,Cloudy,
MVCV0001572/082021,ALLEXCHE45,7259.981655,8/26/2020 11:19,8/30/2020 15:19,8/28/2020 12:58,Early,Patchy rain possible,
VCV00013052/082021,DMREXCHEUX,7683.136635,8/26/2020 11:51,8/30/2020 15:51,8/28/2020 12:47,Early,Sunny,
VCV00013197/082021,DMREXCHEUX,7344.79524,8/26/2020 14:27,8/30/2020 18:27,8/28/2020 12:50,Early,Sunny,
MVCV0001605/082021,ALLEXCHE45,6672.566655,8/26/2020 17:06,8/30/2020 21:06,8/28/2020 12:59,Early,Mist,
MVCV0001598/082021,LUTGCCHE06,7062.140655,8/26/2020 16:20,8/30/2020 20:20,8/28/2020 13:25,Early,Mist,
VCV00013648/082021,DMREXCHEUX,6873.298638,8/26/2020 20:46,8/31/2020 0:46,8/28/2020 12:46,Early,Partly cloudy,
VCV00013650/082021,DMREXCHEUX,10171.41017,8/26/2020 20:56,8/31/2020 0:56,8/28/2020 17:14,Early,Cloudy,
VCV00013716/082021,DMREXCHEUX,12557.19831,8/26/2020 22:32,8/31/2020 2:32,8/28/2020 12:48,Early,Partly cloudy,
VCV00013890/082021,ALLEXCHE45,7325.588655,8/27/2020 11:27,8/31/2020 15:27,8/28/2020 18:48,Early,Sunny,
