Parcels_ID,BookingID,supplierID,Material Shipped,Status,OriginLocation_Code,DestinationLocation_Code,Driver_Name,vehicle_no,RouteID,Weight,Failure_Reason
1001,MVCV0000927/082021,VIJEXHOSR7,BRACKET / GRAB HANDLE,Delay,CHEPUZTVSHUA1,HOSHOSALLCCA2,NA,KA590408,1,,
1002,VCV00014271/082021,VJLEXSHE09,ZB MODEL PLATE / 3143,Early,CHEORADMRCCB1,CHEMATDMROPA7,RAMESH,TN30BC5917,2,,
1003,VCV00014382/082021,GSTEXLAK1Q,LETTERING / FUSO,Early,CHEPONLUTCCA4,CHEPONLUTCCA4,GIRI,TN22AR2748,3,,
1004,VCV00014743/082021,ARVEXNAM09,LU STRUT RA / RADIUS ROD,Early,CHEORADMRCCB1,CHEMATDMROPA7,RAVI,TN28AQ0781,4,,
1005,VCV00014744/082021,SRTEXKOR96,WISHBONE / V ROD/HDT,Early,CHENETLUTCCA1,CHENETLUTCCA1,TAMIL,TN68F1722,5,,
1006,VCV00014749/082021,ESWEXNAM02,MOUNTING BRACKET / FUEL TANK,Early,CHEORADMRCCB1,CHEMATDMROPA7,GANESH,TN88A4980,6,,
1007,VCV00014750/082021,ESWEXNAM02,MOUNTING BRACKET / FUEL TANK,Early,CHEORADMRCCB1,CHEMATDMROPA7,SAKTHIVEL.M,TN88C8204,7,,
1008,VCV00014812/082021,NSAEXNAMDZ,MOUNTING BRACKET / FUEL TANK,Early,CHEORADMRCCB1,CHEMTADMROPA1,SUDHAKAR,TN88D4133,8,,
1009,MVCV0001769/082021,VRLEXENN11,MOUNTING BRACKET / FUEL TANK,Early,CHEENNALLCCA1,HOSHOSALLCCA3,NA,TN23AM4662,9,,
1010,VCV00014665/082021,VJLEXSHE09,MOUNTING BRACKET / FUEL TANK,Early,CHEORADMRCCB1,CHEMATDMROPA7,SENTHIL KUMAR,TN30BC5982,10,,
1011,VCV00014745/082021,NSAEXNAMDZ,MOUNTING BRACKET / FUEL TANK,Early,CHEORADMRCCB1,CHEMATDMROPA7,KUMARAN,TN88D3900,11,,
1012,VCV00014866/082021,VIJEXHOSR7,MOUNTING BRACKET / FUEL TANK,Early,HOSHOSALLCCA3,CHEPUZTVSHUA1,RAGU,KA51C6972,12,,
1013,VCV00014879/082021,KRCEXSIN81,ZB MOUNTING BRACKET FUEL-TANK / MDT,Early,CHEORADMRCCB1,CHEMATDMROPA7,RAMACHANDRAN,TN11M3423,13,,
1014,VCV00014872/082021,SUSEXMADL5,ZB CONSOLE / D SHAPE FUEL TANK,Early,CHEORADMRCCB1,CHEMATDMROPA7,PATTABI,TN12C9762,14,,
1015,VCV00014554/082021,ARVEXNAM09,ZB MOUNTING BRACKET FUEL-TANK / MDT,Early,CHEORADMRCCB1,CHEMATDMROPA7,SENTHIL KUMAR,TN889013,15,,
1016,VCV00014571/082021,SRTEXKOR96,ZB CONSOLE / D SHAPE FUEL TANK,Early,CHEPADLUTCCA1,CHENETLUTCCA1,KESAVEN,TN73AB7106,16,,
1017,VCV00014582/082021,VJLEXSHE09,ZB MOUNTING BRACKET FUEL-TANK / MDT,Early,CHEORADMRCCB1,CHEMATDMROPA7,DHASHNAMOORTHY,TN30BC9252,17,,
1018,VCV00014600/082021,SRTEXKOR96,EMPTY BIN,Early,CHENETLUTCCA1,CHENETLUTCCA1,DASS,TN32AL1851,18,,
1019,VCV00014753/082021,SUSEXMADL5,WASHER WHEEL BRG LOC,Early,CHEORADMRCCB1,CHEMATDMROPA7,YUVARAJ,TN12AC0599,19,,
1020,VCV00014902/082021,ESWEXNAM02,SYNCHRONIZER BODY / 4TH 5TH AND 6TH GEAR,Early,CHEORADMRCCB1,CHEMATDMROPA7,SIVA,TN887661,20,,
1021,VCV00015028/082021,SUSEXMADL5,SYNCHRONIZER BODY,Early,CHEORADMRCCB1,CHEMTADMROPA1,SURESH,TN85B1588,21,,
1022,VCV00014886/082021,VRLEXENN11,INNER SYNCHRONIZER RING,Early,HOSHOSALLCCA3,CHEENNALLCCA1,RAGU,TN23AZ8289,22,,
1023,VCV00014888/082021,AMAEXSUN42,CONSTANT VELOCITY UNIT,Early,CHEMMNTFECCC3,CHEMMATFEOPA1,RAJA,TN18s3838,23,,
1024,VCV00014914/082021,VJLEXSHE09,INNER SYNCHRONIZER RING / 2. GANG,Early,CHEORADMRCCB1,CHEMATDMROPA7,RAVI,TN30BJ0957,24,,
1025,VCV00014931/082021,ARVEXNAM09,SLIDING SLEEVE / 5./6.GANG,Early,CHEORADMRCCB1,CHEMATDMROPA7,RAMKUMAR,TN28AQ0975,25,,
