BillID,BookingID,vehicle_no,Refined.Maintenance
,MVCV0000927/082021,KA590408,1011.93
,VCV00014271/082021,TN30BC5917,1561.78
,VCV00014382/082021,TN22AR2748,1324.12
,VCV00014743/082021,TN28AQ0781,560.17
,VCV00014744/082021,TN68F1722,648.11
,VCV00014749/082021,TN88A4980,416.48
,VCV00014750/082021,TN88C8204,624.76
,VCV00014812/082021,TN88D4133,506.32
,MVCV0001769/082021,TN23AM4662,1240.44
,VCV00014665/082021,TN30BC5982,263.13
,VCV00014745/082021,TN88D3900,1220.22
,VCV00014866/082021,KA51C6972,881.95
,VCV00014879/082021,TN11M3423,896.56
,VCV00014872/082021,TN12C9762,390.12
,VCV00014554/082021,TN889013,387.92
,VCV00014571/082021,TN73AB7106,325.27
,VCV00014582/082021,TN30BC9252,791.48
,VCV00014600/082021,TN32AL1851,929.45
,VCV00014753/082021,TN12AC0599,420.14
,VCV00014902/082021,TN887661,1327.42
,VCV00015028/082021,TN85B1588,2095.77
,VCV00014886/082021,TN23AZ8289,1725.49
,VCV00014888/082021,TN18s3838,759.18
,VCV00014914/082021,TN30BJ0957,844.54
,VCV00014931/082021,TN28AQ0975,558.39
,VCV00014983/082021,TN88D4134,541.76
,VCV00014984/082021,TN30BB1036,679.94
,VCV00014991/082021,TN30BC9320,1599.52
,VCV00012634/082021,TN02AP2662,337.99
,VCV00012746/082021,TN11AB2839,1590.62
,VCV00012911/082021,PY01BT7752,1170.86
,VCV00012946/082021,TN88D2104,1190.51
,MVCV0001572/082021,KA27A4080,507.47
,VCV00013052/082021,TN19AL2181,514.29
,VCV00013197/082021,TN88A6674,419.42
,MVCV0001605/082021,TN47AZ4165,1065.58
,MVCV0001598/082021,TN32AR7548,1280.74
,VCV00013648/082021,TN30BC5982,541.76
,VCV00013650/082021,TN88D8267,1295.43
,VCV00013716/082021,TN88A8569,1697.17
,VCV00013890/082021,TN23L2017,739.71
,VCV00013840/082021,TN13M3641,834.27
,VCV00013803/082021,TN88D1544,580.05
,VCV00013914/082021,TN88A0823,795.21
,MVCV0001683/082021,TN70T5805,695.79
,VCV00014179/082021,TN30BK2605,1579.02
,VCV00014639/082021,TN02AS5679,329.33
,VCV00014742/082021,TN04AE6148,1583.05
,VCV00014116/082021,TN30BD0285,1159.98
,VCV00014136/082021,TN73F4927,1140.83
,VCV00014160/082021,TN88A6656,494.46
,VCV00014729/082021,TN25M8075,501.11
,MVCV0001782/082021,KA591781,411.75
,MVCV0001783/082021,KA432901,1061.62
,VCV00014847/082021,TN73AC6411,1290.98
,AEIBK2027618,KA51AF7596,534.02
,AEIBK2027593,TN60D8749,1271.29
,AEIBK2027507,TN57AS7483,732.22
,AEIBK2027326,TN28AP6935,682.24
,AEIBK2027412,TN15M6052,1539.54
,AEIBK2027834,TN70AD0093,482.1
,AEIBK2027847,TN40X6070,488.52
,AEIBK2027817,TN590117,1071.28
,AEIBK2027702,HR55N0386,1271.2
,AEIBK2027512,TN97A1924,822.7
,AEIBK2027091,TN59CE2657,616.04
,AEIBK2027033,TN58AQ5862,670.48
,VCV00014153/082021,TN30BC9320,1157.08
,VCV00014063/082021,TN30BB1036,1150.77
,VCV00014741/082021,TN88D4134,472.29
,AEIBK2027346,TN24R6979,505.07
,VCV00014113/082021,TN28AQ0975,396.05
,VCV00013971/082021,TN887661,625.89
,MVCV0001571/082021,TN21R2077,523.43
,VCV00013034/082021,TN23AZ8289,1317.23
,MVCV0001604/082021,TN41AH2583,1622.2
,VCV00013841/082021,TN12C9762,746.52
,VCV00014096/082021,TN73AC6411,803.11
,VCV00013818/082021,TN18s3838,841.44
,VCV00013819/082021,TN18m5881,742.39
,VCV00014017/082021,TN85B1588,657.37
,VCV00014735/082021,TN88D4133,313.53
,VCV00014755/082021,TN13Q4639,1472.7
,VCV00014647/082021,TN18AB5514,1046.54
,VCV00013531/082021,TN12AC0599,1153.13
,VCV00012819/082021,TN88C8204,1127.4
,VCV00013919/082021,TN88A4980,462.47
,VCV00014549/082021,TN88D3900,493.04
,VCV00013912/082021,TN28AQ0781,510.97
,VCV00014739/082021,TN88D4134,1326.26
,VCV00013896/082021,TN88D4133,1606.92
,VCV00014144/082021,TN88D3900,729.16
,VCV00013407/082021,TN889013,791.4
,VCV00014242/082021,TN02AS5679,592.26
,VCV00014085/082021,TN18AB5514,750.13
,VCV00014110/082021,TN32AL1851,1444.06
,MVCV0001593/082021,KA432901,306.24
,VCV00014268/082021,TN70J0495,1140.86
,VCV00014250/082021,TN28AL5055,435.52
,VCV00014252/082021,TN52Y0785,1316.46
,VCV00013502/082021,TN12AB9253,500.14
,VCV00013903/082021,TN30BC5917,1299.63
,VCV00013399/082021,TN48E1822,1643.48
,VCV00012744/082021,TN30BK2605,720.2
,VCV00014106/082021,TN28AQ0975,792.85
,VCV00013467/082021,TN70T5805,578.8
,VCV00013476/082021,TN30BD0285,758.91
,VCV00013581/082021,TN28AQ0975,304.43
,VCV00013844/082021,KA409852,1447.29
,VCV00012298/082021,TN85B2685,1048.04
,VCV00012048/082021,TN73F4927,1115.97
,VCV00005971/082021,TN24AJ3359,497.9
,VCV00014052/082021,TN18AB5514,453.59
,VCV00013612/082021,TN25M8075,1308.25
,VCV00013657/082021,TN02AS5679,488.77
,AEIBK2027198,TN73F4927,1276.02
,VCV00013880/082021,TN88D4134,1651.64
,MVCV0001590/082021,TN11Z7473,724.18
,VCV00013790/082021,TN32AL1851,817.84
,VCV00013537/082021,TN887661,578.29
,AEIBK2027566,TN64H2799,746.49
,VCV00013217/082021,TN19AM0312,314.86
,AEIBK2026827,TN60D8749,1645.48
,AEIBK2027445,TN11Z7473,1094.15
,VCV00013789/082021,TN30BB1036,501.24
,VCV00013909/082021,TN283256,450.26
,VCV00013913/082021,KA22B0825,1280.16
,VCV00013935/082021,TN70J0495,479.91
,AEIBK2027508,TN93A9105,1335.11
,VCV00013891/082021,TN88D4133,1799.96
,MVCV0000707/082021,TN23AM4662,728.93
,VCV00013584/082021,TN28AQ0781,800.06
,VCV00013540/082021,TN88D3900,593.08
,VCV00013885/082021,TN52Y0785,740.44
,VCV00013878/082021,TN38BM5947,321.67
,VCV00012994/082021,TN88A4980,1628
,VCV00013205/082021,TN30BC9320,1083.54
,VCV00013867/082021,TN38BM5947,493.78
,VCV00013872/082021,TN60F9702,467.14
,VCV00013873/082021,TN60F8519,1252.33
,VCV00013300/082021,TN36F6849,485.63
,VCV00013829/082021,TN20AL7839,1276.02
,VCV00013534/082021,TN12C9762,1651.64
,VCV00013659/082021,TN22AR2748,724.18
,VCV00013673/082021,TN13M3641,817.84
,VCV00012870/082021,TN18s3838,578.29
,VCV00012871/082021,TN18m5881,746.49
,VCV00011937/082021,TN88D1544,1276.02
,VCV00013779/082021,TN73AB7106,1651.64
,VCV00013490/082021,TN30BF9653,724.18
,VCV00013678/082021,TN13Q4639,817.84
,VCV00011938/082021,TN88A6656,746.49
,VCV00013783/082021,TN68F1722,1276.02
,VCV00013765/082021,TN32AL1851,1651.64
,VCV00013634/082021,TN88D4134,724.18
