vehicle_no,vehicleType,FuelType
KA590408,32 FT Single-Axle 7MT - HCV,
TN30BC5917,32 FT Multi-Axle 14MT - HCV,
TN22AR2748,1 MT Tata Ace (Open Body),
TN28AQ0781,32 FT Multi-Axle 14MT - HCV,
TN68F1722,32 FT Multi-Axle 14MT - HCV,
TN88A4980,32 FT Multi-Axle 14MT - HCV,
TN88C8204,32 FT Multi-Axle 14MT - HCV,
TN88D4133,32 FT Multi-Axle 14MT - HCV,
TN23AM4662,24 FT SXL Container,
TN30BC5982,32 FT Multi-Axle MXL 18MT,
TN88D3900,32 FT Multi-Axle 14MT - HCV,
KA51C6972,32 FT Multi-Axle 14MT - HCV,
TN11M3423,32 FT Single-Axle 7MT - HCV,
TN12C9762,32 FT Multi-Axle 14MT - HCV,
TN889013,19 FT OPEN BODY 8 MT,
TN73AB7106,32 FT Multi-Axle 14MT - HCV,
TN30BC9252,32 FT Multi-Axle 14MT - HCV,
TN32AL1851,32 FT Single-Axle 7MT - HCV,
TN12AC0599,32 FT Multi-Axle MXL 18MT,
TN887661,32 FT Multi-Axle 14MT - HCV,
TN85B1588,32 FT Multi-Axle 14MT - HCV,
TN23AZ8289,32 FT Multi-Axle 14MT - HCV,
TN18s3838,32 FT Multi-Axle 14MT - HCV,
TN30BJ0957,32 FT Multi-Axle 14MT - HCV,
TN28AQ0975,17 FT Container,
TN88D4134,32 FT Single-Axle 7MT - HCV,
TN30BB1036,24 FT SXL Container,
TN30BC9320,32 FT Single-Axle 7MT - HCV,
TN02AP2662,32 FT Single-Axle 7MT - HCV,
TN11AB2839,32 FT Single-Axle 7MT - HCV,
PY01BT7752,32 FT Single-Axle 7MT - HCV,
TN88D2104,32 FT Single-Axle 7MT - HCV,
KA27A4080,20 FT SXL Container,
TN19AL2181,32 FT Single-Axle 7MT - HCV,
TN88A6674,32 FT Multi-Axle 14MT - HCV,
TN47AZ4165,32 FT Single-Axle 7MT - HCV,
TN32AR7548,32 FT Multi-Axle 14MT - HCV,
TN88D8267,32 FT Multi-Axle 14MT - HCV,
TN88A8569,32 FT Single-Axle 7MT - HCV,
TN23L2017,32 FT Multi-Axle 14MT - HCV,
TN13M3641,1 MT Tata Ace (Open Body),
TN88D1544,32 FT Multi-Axle 14MT - HCV,
TN88A0823,32 FT Multi-Axle 14MT - HCV,
TN70T5805,32 FT Multi-Axle 14MT - HCV,
TN30BK2605,32 FT Multi-Axle 14MT - HCV,
TN02AS5679,32 FT Multi-Axle MXL 18MT,
TN04AE6148,32 FT Multi-Axle 14MT - HCV,
TN30BD0285,32 FT Multi-Axle 14MT - HCV,
TN73F4927,32 FT Single-Axle 7MT - HCV,
TN88A6656,32 FT Multi-Axle 14MT - HCV,
TN25M8075,19 FT OPEN BODY 8 MT,
KA591781,32 FT Multi-Axle 14MT - HCV,
KA432901,32 FT Multi-Axle 14MT - HCV,
TN73AC6411,32 FT Single-Axle 7MT - HCV,
KA51AF7596,32 FT Multi-Axle 14MT - HCV,
TN60D8749,24 FT SXL Container,
TN57AS7483,32 FT Single-Axle 7MT - HCV,
TN28AP6935,24 FT SXL Container,
TN15M6052,24 FT SXL Container,
TN70AD0093,1 MT Tata Ace (Closed Body),
TN40X6070,24 FT SXL Container,
TN590117,24 FT SXL Container,
HR55N0386,32 FT Single-Axle 7MT - HCV,
TN97A1924,1.5 MT Pickup (Open Body),
TN59CE2657,24 FT SXL Container,
TN58AQ5862,24 FT SXL Container,
TN24R6979,19 FT OPEN BODY 8 MT,
TN21R2077,NULL,
TN41AH2583,NULL,
TN18m5881,NULL,
TN13Q4639,NULL,
TN18AB5514,NULL,
TN70J0495,NULL,
TN28AL5055,NULL,
TN52Y0785,NULL,
TN12AB9253,NULL,
TN48E1822,NULL,
KA409852,NULL,
TN85B2685,NULL,
TN24AJ3359,NULL,
TN11Z7473,NULL,
TN64H2799,24 FT SXL Container,
TN19AM0312,NULL,
TN283256,NULL,
KA22B0825,NULL,
TN93A9105,1.5 MT Pickup (Open Body),
TN38BM5947,NULL,
TN60F9702,NULL,
TN60F8519,NULL,
TN36F6849,NULL,
TN20AL7839,NULL,
TN30BF9653,NULL,
TN30BB0534,NULL,
TN11J6678,NULL,
TN30BC8362,NULL,
TN85B2693,NULL,
TN13K3588,NULL,
TN13K3804,NULL,
TN20BV6187,NULL,
TN20BS8311,NULL,
TN88D9920,NULL,
TN88C8932,NULL,
TN24X4314,14 FT Open - 3 MT,
TN88C8632,NULL,
TN24P7916,NULL,
TN24AE6396,NULL,
TN18AJ1390,19 FT OPEN BODY 8 MT,
TN40J2380,1.5 MT Vehicle (Closed Body),
TN85B2698,NULL,
HR47C3126,NULL,
AP39TJ1844,NULL,
TN83Q3845,1.5 MT Pickup (Open Body),
TN88B2414,NULL,
KA51D3946,32 FT Multi-Axle 14MT - HCV,
TN88D1410,NULL,
TN40M8575,1.5 MT Pickup (Open Body),
TN52J1622,24 / 26 FT Taurus Open 21MT - HCV,
TN11S1459,NULL,
TN23AA5466,NULL,
TN22BE9497,NULL,
KA01AG0996,32 FT Single-Axle 7MT - HCV,
TN60X3147,24 FT SXL Container,
KA51D0830,1 MT Tata Ace (Closed Body),
TN31CA2511,NULL,
TN24AC3721,NULL,
TN19AH6070,NULL,
NL01AA0415,32 FT Single-Axle 7MT - HCV,
TN13E5179,NULL,
TN21M2911,NULL,
TN60F0658,NULL,
TN88A8905,NULL,
TN51T7528,NULL,
KA14A0338,NULL,
KA21A6905,40 FT 3XL Trailer 35MT,
KA51C1177,NULL,
TN12A4168,NULL,
TN11AR6457,1.5 MT Pickup (Open Body),
TN29BL4101,1.5 MT Pickup (Open Body),
TN70AD7646,19 FT OPEN BODY 8 MT,
TN19P6478,NULL,
TN12K5044,NULL,
TN88A6980,NULL,
TN55AA0571,24 FT SXL Container,
KA51A7682,NULL,
TN24AS9634,NULL,
TN58J2369,NULL,
TN20S2311,NULL,
TN59BR9672,24 FT SXL Container,
